2020-03-05	1
2020-03-06	1
2020-03-07	1
2020-03-08	3
2020-03-09	3
2020-03-10	7
2020-03-11	13
2020-03-12	17
2020-03-13	24
2020-03-14	38
2020-03-15	51
2020-03-16	62
2020-03-17	62
2020-03-18	116
2020-03-19	150
2020-03-20	202
2020-03-21	240
2020-03-22	274
2020-03-23	402
2020-03-24	554
2020-03-25	709
2020-03-26	927
2020-03-27	1170
2020-03-28	1187
2020-03-29	1280
2020-03-30	1326
2020-03-31	1353
2020-04-01	1380
2020-04-02	1462
2020-04-03	1505
2020-04-04	1585
2020-04-05	1655
2020-04-06	1686
